"DATE","DESCRIPTION","AMOUNT","ID","MEMO","CURRENT BALANCE"
"06/25/2022","WITHDRAWAL ATM 0625 1411 911789 2600 BERLIN TURNPIKE    NEWINGTON    CT","-$42.00","UABHAHkAUwAzAFAAMgAwAHoAYgAwACsANAAyAHoAVwAxADgASgBrAFUAUQA9AD0A","","$23,490.25"
"06/25/2022","DB DEBIT - 6-24-2022, SQ *MOFONGO RESTAURANT   WINDSOR      CT,AUTH# 383042 DEBIT CARD DEBIT","-$43.98","awB3AEsAQwBIAHMATgBHAGsAOQBJAFQASgAwAFQAZABIAEoAbgAzAFAAZwA9AD0A","","$23,532.25"
"06/21/2022","WITHDRAWAL ATM 0620 1538 493574 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$123.00","RQBHAFgAdQBKAG0AeQBGADIARwBCAGUASwAvAHoAawBiAFgAMwBHAFoAQQA9AD0A","","$23,576.23"
"06/21/2022","DB DEBIT - 6-19-2022, PULSE SOLUTIONS          HTTPSPULSEGROCA,AUTH# 989476 DEBIT CARD DEBIT","-$50.00","TABmADIAYwBhAGYAMwBWAHgAMQB4AEYAVABXAEMARgBjADcAWgBFAE8AZwA9AD0A","","$23,699.23"
"06/21/2022","DB DEBIT - 6-17-2022, WILDSIDE SMOKESHOP       NASHUA       NH,AUTH# 303021 DEBIT CARD DEBIT","-$54.99","VgAvADIASQBzAFUARQAxAGwAUQBSAG4ATQAwADgAagBUAEIAMwBwAHkAZwA9AD0A","","$23,749.23"
"06/17/2022","DB DEBIT - 6-17-2022, APPLE.COM/BILL           866-712-7753 CA,AUTH# 76018 DEBIT CARD DEBIT","-$2.99","WAB2AEgAZgBBAFIASwBVAHYASgBCAHQAQgByAE8AYwBTAEIATABIAFcAUQA9AD0A","","$23,804.22"
"06/16/2022","DB DEBIT - 6-16-2022, DOORDASH*CHICK-FIL-A     WWW.DOORDASH.CA,AUTH# 906552 DEBIT CARD DEBIT","-$21.69","MABuAFMAVAA4AFQARgAyADYAeQAyAHgAbwBnAGQAZwBnAFMAOQBuADIAQQA9AD0A","","$23,807.21"
"06/15/2022","DB DEBIT - 6-15-2022, APPLE.COM/BILL           866-712-7753 CA,AUTH# 642985 DEBIT CARD DEBIT","-$4.99","cAAzAGUATgBhACsATABZAFcAOQBtAEkAUgBOAHQATgBDAHoASQB5AEEAZwA9AD0A","","$23,828.90"
"06/15/2022","ELECTRONIC DEPOSIT - AGENUS INC      DIRECT DEP220617","$1,833.27","RgArAFYAYwBjAFYAcQAyAGYAMgBNAHkAUABuAEkARwBQADAAVAAzAEkAQQA9AD0A","","$23,833.89"
"06/15/2022","ELECTRONIC WITHDRAWAL CARDMEMBER SERV WEB PYMT  220615","-$543.44","YwB6AHQATQBSAEYAQwAzAE8AZQBRAFEAQQBpACsAWABwAGYAeQBIAEQAUQA9AD0A","","$22,000.62"
"06/14/2022","WITHDRAWAL ATM 0614 1641 334972 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$103.00","SgA2AFQAbgArAFIARgBKAFYAMQBsAFMAMAB1AFYAVQBMAHYAQQBZAEEAUQA9AD0A","","$22,544.06"
"06/14/2022","DB DEBIT - 6-13-2022, PANERA BREAD #601057 P   WATERBURY    CT,AUTH# 578732 DEBIT CARD DEBIT","-$7.72","ZgB2AGYAeQBLAEIAcgBhAEIAMgBBAEoAQwBTADUAMAA3AEQAMAA0ADUAQQA9AD0A","","$22,647.06"
"06/14/2022","DB DEBIT - 6-13-2022, EAST BROOK FITNESS       MANSFIELD CENCT,AUTH# 330561 DEBIT CARD DEBIT","-$13.77","WQBuAGMAcQBQAHIAQgBMAG4ANABUAHAASgBwAHcAeQBxAHAAawBLAEUAQQA9AD0A","","$22,654.78"
"06/14/2022","DB DEBIT - 6-12-2022, GAMEXCHANGE WATERBURY    WATERBURY    CT,AUTH# 988263 DEBIT CARD DEBIT","-$52.05","RgBtAFoANgBiADUAWgB5AGsARwBIAFkAaABDAG8ARgBSAGgAVgBRAEkAZwA9AD0A","","$22,668.55"
"06/11/2022","DB DEBIT - 6-11-2022, SUBWAY 11588             WOLCOTT      CT,AUTH# 261799 DEBIT CARD DEBIT","-$8.90","SwBLAFUAOQBFAFUAYgA2AGoAUgBmAEsATwAyAHAAKwB4ADQASAByAGUAdwA9AD0A","","$22,720.60"
"06/11/2022","DB DEBIT - 6-11-2022, TST* ROBEKS - 357 - WES  WEST HARTFORDCT,AUTH# 650543 DEBIT CARD DEBIT","-$9.44","OQBlAHQAUwBNAGcAcQBaADEAQwBHAHEAYwBnAFMAegBUADcAawBoADAAdwA9AD0A","","$22,729.50"
"06/11/2022","DB DEBIT - 6-10-2022, MCDONALD S F25934        CHARLTON     MA,AUTH# 337154 DEBIT CARD DEBIT","-$7.58","agBMAFEAWABrADMAKwBCAFcAYgBmAEwALwBUAEsARQBEAFcAcwBqAGQAUQA9AD0A","","$22,738.94"
"06/10/2022","DB DEBIT - 6-11-2022, SUBWAY 11588             WOLCOTT      CT,AUTH# 689004 DEBIT CARD DEBIT","-$6.44","eQBQAEQAawBaAE4AWAB2AHcAaABHAGwAZQAwAGwAWAB4AEYATAB0AGUAQQA9AD0A","","$22,746.52"
"06/10/2022","WITHDRAWAL ATM 0610 1410 508515 2600 BERLIN TURNPIKE    NEWINGTON    CT","-$42.00","ZwAxAEEAOQBsAEgAaABvAHUAQQBDAHYAMABuAGwAbwA0AE8AMQBEAE4AUQA9AD0A","","$22,752.96"
"06/10/2022","DB DEBIT - 6-10-2022, HANNAFORD #8186          NASHUA       NH,AUTH# 302675 DEBIT CARD DEBIT","-$6.39","WABBAG4ASwA0ACsAQgB2AGgAMAB6AGEANAB1AFoAdQBJADIASwBpAHgAQQA9AD0A","","$22,794.96"
"06/09/2022","WITHDRAWAL ATM 0609 1901 968957 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$58.00","cAA4AG4AMgAzADcARwA3AGwATwB4ADgASQA2AGYASABLAGIAWAA1AGQAQQA9AD0A","","$22,801.35"
"06/09/2022","DB DEBIT - 6-09-2022, AMC ONLINE 9640          8884404262   KS,AUTH# 267088 DEBIT CARD DEBIT","-$15.78","TQBhADcAMQBFAEUAawA3AGMALwBlADcAcgBmAGMAWgBNAGsAVgBUAC8AQQA9AD0A","","$22,859.35"
"06/07/2022","WITHDRAWAL POS 0607 0911 266470 APPLE COM BILL          CUPERTINO    CA","-$10.62","agAxAE4AbwBtAEUAVwBlADgAMgBtADMASQAxAHUAVgBOAGcAcgAvAGUAQQA9AD0A","","$22,875.13"
"06/06/2022","ELECTRONIC WITHDRAWAL SUBSCRIPTION    ACORNS    060622","-$3.00","OABZADMAZgBVADcAQQBzAHQANQBXADMAYgBQAEsAWQBFAGYATwB0ADkAQQA9AD0A","","$22,885.75"
"06/06/2022","DB DEBIT - 6-06-2022, NIKEPOS_US               CLINTON      CT,AUTH# 319077 DEBIT CARD DEBIT","-$62.94","dQBhAEoAeQBGAFoATAB5ADUASwBtAFcAVwBaAFUAbwB1AEgAOQBSAHkAdwA9AD0A","","$22,888.75"
"06/06/2022","DB DEBIT - 6-05-2022, DOORDASH DASHPASS        WWW.DOORDASH.CA,AUTH# 248765 DEBIT CARD DEBIT","-$9.99","RABaAGkAbwB5AG8AZgBoAEoAcQBiAEgARwBwAEEAVwB0ADcANABGAHEAdwA9AD0A","","$22,951.69"
"06/06/2022","DB DEBIT - 6-05-2022, TST* ROBEKS - 357 - WES  WEST HARTFORDCT,AUTH# 456918 DEBIT CARD DEBIT","-$9.44","cAB4AHIAagB1ADEAZQBuADcANwBmAEcAUwBIAE8AZgBUAHMAOABiAGUAdwA9AD0A","","$22,961.68"
"06/04/2022","WITHDRAWAL POS 0604 1716 608132 MARSHALLS #0489         W. HARTFORD  CT","-$40.39","YgBLAEYARQBoAHoAUwBIAEEAbABjAG4AMABwAEYAVwAvADAAZgBpADEAdwA9AD0A","","$22,971.12"
"06/04/2022","TRANSFER TO MBR 5136510 ACCT 5 MONTHLY TRANSFER TO FREE CHECKING - ","-$56.16","RwBwAGMAeQB0AHUASwBVAFAAbwB4AGgAOABTAHIANgAvAGoAVAB6ADQAZwA9AD0A","NISSAN INSURANCE","$23,011.51"
"06/03/2022","DB DEBIT - 6-03-2022, APPLE.COM/BILL           866-712-7753 CA,AUTH# 110617 DEBIT CARD DEBIT","-$7.99","TwBYACsATABGAFYAMwBCAEYAbABYAHcAVQBJAE0ANABYAE4AYgBYAFEAQQA9AD0A","","$23,067.67"
"06/02/2022","WITHDRAWAL ATM 0602 1747 132624 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$58.00","UQBzAEgAagBDADcAcQBJAGkAaQAxAGkAcAAvAGoAeABVAE8ARwBBAEQAdwA9AD0A","","$23,075.66"
"06/02/2022","DB DEBIT - 6-01-2022, PANERA BREAD #203416 P   NASHUA       NH,AUTH# 478170 DEBIT CARD DEBIT","-$7.91","WQBkAGoAZgA3AC8ASwBQAGwARABtAHAAawBXAC8AYQBpADAANQBBAFcAUQA9AD0A","","$23,133.66"
"06/01/2022","ELECTRONIC DEPOSIT - AGENUS INC      DIRECT DEP220603","$1,833.25","WQArAEYAMwBLAGsANQArAEoAYwA1AG4AdwA0ADgAMABrADkAUQArAE4AZwA9AD0A","","$23,141.57"
"06/01/2022","DB DEBIT - 6-01-2022, LINODE                   855-454-6633 PA,AUTH# 958326 DEBIT CARD DEBIT","-$5.00","QQBzAHIAMgAyAGMAVQBTAGsAQQBTAHQAOABmAHMAeABpADgASwBFAFIAQQA9AD0A","","$21,308.32"
"06/01/2022","DB DEBIT - 6-01-2022, DOORDASH*CHICK-FIL-A     WWW.DOORDASH.CA,AUTH# 573169 DEBIT CARD DEBIT","-$20.17","NABxAHMAUgA2AHgAUABtAHoALwBNAFIAbQBnAGYAMwBuAHIARQAvADgAQQA9AD0A","","$21,313.32"
"05/31/2022","INC TAX - INCOME TAX WITHHOLDING INCOME TAX WITHHOLDING","-$0.42","bQB0AG4AVwB1AHAAUwBBAEgAZQBYAFgAUwBEADgAWgBKAFoASABGAGkAZwA9AD0A","","$21,333.49"
"05/31/2022","DIVIDEND","$1.77","TwBZAEEAMQBBAEUAZABaAHUATgAxAGgAbAB5AFoAQwA3AEUAZQBTAGIAQQA9AD0A","","$21,333.91"
"05/31/2022","DB DEBIT - 5-29-2022, SHELL SERVICE STATION    NASHUA       NH,AUTH# 612232 DEBIT CARD DEBIT","-$10.35","TABqAEcAZABBAG4ALwBXAHQANABCAG4ARQA3AFgAQgBQAG0ASgBrAGUAdwA9AD0A","","$21,332.14"
"05/28/2022","DB DEBIT - 5-28-2022, DOORDASH*TJS RESTAURAN   WWW.DOORDASH.CA,AUTH# 130524 DEBIT CARD DEBIT","-$103.15","QQBFAGkAagBaAEMANQBkADMATQA2AFEAUABmAFYAMQBxAEkAQgB3AHIAdwA9AD0A","","$21,342.49"
"05/27/2022","DB DEBIT - 5-26-2022, STOP   SHOP 0688         OLD SAYBROOK CT,AUTH# 410212 DEBIT CARD DEBIT","-$5.25","bAB4AGwATQBuAHgAMwBTAGMAbQBtAHMAeAB2ADgAcgBEAGgAYQB2AGkAZwA9AD0A","","$21,445.64"
"05/26/2022","DB DEBIT - 5-26-2022, SUBWAY 11588             WOLCOTT      CT,AUTH# 170781 DEBIT CARD DEBIT","-$8.90","MgBHADkANABQAG4AZAA2AEkAaQBoAGsAMABaADkAQQB2AGkAOABxAG4AQQA9AD0A","","$21,450.89"
"05/25/2022","DB DEBIT - 5-25-2022, NINTENDO CD753178876     800-2553700  WA,AUTH# 30967 DEBIT CARD DEBIT","-$7.99","QgArAHIAcQBLAHkAdQBDADcAdwBXAFkAWABkAGcAVwBqAEgARgB1AHMAdwA9AD0A","","$21,459.79"
"05/24/2022","DB DEBIT - 5-24-2022, DOORDASH*POPEYES         WWW.DOORDASH.CA,AUTH# 151071 DEBIT CARD DEBIT","-$25.09","RgA2ADUATwBPAEgANQByAFYAcABRADYAaAB1AEkAQQAxAHMAcwBMAFIAUQA9AD0A","","$21,467.78"
"05/23/2022","WITHDRAWAL ATM 0523 1249 111519 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$93.00","bABzAGkAaABnAFYALwBIAHUAbQBkAEcAdgBtAFUAVABsAG8AcgBMAHYAUQA9AD0A","","$21,492.87"
"05/20/2022","DB DEBIT - 5-19-2022, PULSE SOLUTIONS          HTTPSPULSEGROCA,AUTH# 568862 DEBIT CARD DEBIT","-$50.00","dABHAEsANwBmAG4AMgBQADIANAB1AEYARgBCAHgAZgBlAGcAeQBrADUAZwA9AD0A","","$21,585.87"
"05/18/2022","ELECTRONIC DEPOSIT - AGENUS INC      DIRECT DEP220520","$1,837.63","SAAvADAATQBKAEMAbAA2AHQAZABMADYAagA0AEMAcABzAFkAOQBWAFcAQQA9AD0A","","$21,635.87"
"05/17/2022","WITHDRAWAL POS 0517 0539 819102 APPLE COM BILL          CUPERTINO    CA","-$2.99","TwBTAHAAdwA2AEYANwBqAE0AcABnADEAeQBrADcAbABIAEwAcgBuAEcAQQA9AD0A","","$19,798.24"
"05/17/2022","DB DEBIT - 5-16-2022, SQ *MOFONGO RESTAURANT   WINDSOR      CT,AUTH# 566640 DEBIT CARD DEBIT","-$13.94","eQBVAGIAZQBGAGQAUwBOAGoAegBJAGwAMgBpAGQAdABXADEAagB4AG0AUQA9AD0A","","$19,801.23"
"05/16/2022","DB DEBIT - 5-16-2022, VENMO*                   VISA DIRECT  NY,AUTH# 553087 DEBIT CARD DEBIT","-$59.00","OABCADEAaABLADEAZwBNAGUAYgA1AFkAVQBXAGQANQBUADgARQBnAFMAdwA9AD0A","","$19,815.17"
"05/16/2022","ELECTRONIC WITHDRAWAL CARDMEMBER SERV WEB PYMT  220516","-$340.55","RgBLAHQAMABnAEQAbQBJADQANABmAGsAUQBqADMANwArADgAWAByAFoAdwA9AD0A","","$19,874.17"
"05/16/2022","WITHDRAWAL POS 0515 0542 525844 APPLE COM BILL          CUPERTINO    CA","-$4.99","YQByAFcAVQBNAFMAUgBUAHcAUABnAEMAbgA2AG0AQQBxAEEAdwBBAGsAZwA9AD0A","","$20,214.72"
"05/16/2022","DB DEBIT - 5-14-2022, SUBWAY 16347             TOLLAND      CT,AUTH# 225778 DEBIT CARD DEBIT","-$21.45","KwBtAGMATABuAHQASQA3ADAAbgBzADMAQwBXADAAdABxAG0AOQB1AHIAQQA9AD0A","","$20,219.71"
"05/14/2022","WITHDRAWAL ATM 0514 1615 183230 650  WOLCOTT  STREE     WATERBURY    CT","-$100.00","SQBvAEwARQBoAE8AZAB2AHkASwBxAG4AQQB0AHcAUgBGAEUAZwAvAFQAZwA9AD0A","","$20,241.16"
"05/14/2022","DB DEBIT - 5-14-2022, VENMO*                   VISA DIRECT  NY,AUTH# 132809 DEBIT CARD DEBIT","-$40.00","VwBjADUAUABNAHgAegBSACsANwBoAGUAdwBIAFAAVAB5ACsAVABwAFQAUQA9AD0A","","$20,341.16"
"05/14/2022","DB DEBIT - 5-13-2022, PANERA BREAD #203416 P   NASHUA       NH,AUTH# 255178 DEBIT CARD DEBIT","-$3.03","SQBwAEYALwBjAGYAaABRAEEANABQAE0ATwBKAHEAcgBzAEIAcQB1AEoAQQA9AD0A","","$20,381.16"
"05/14/2022","DB DEBIT - 5-13-2022, EAST BROOK FITNESS       MANSFIELD CENCT,AUTH# 979301 DEBIT CARD DEBIT","-$13.77","RwBsAHkAKwBaAEsAQQBpAEMAdwBSAG4AUAAxAEUAUgB4AGsAegBRAG8AdwA9AD0A","","$20,384.19"
"05/13/2022","DB DEBIT - 5-13-2022, DOORDASH*POPEYES         WWW.DOORDASH.CA,AUTH# 559864 DEBIT CARD DEBIT","-$25.09","NwBqAG4AcQBsAFkAYwBEAGsAWgBFAFYAVgB1ADUAVwA2AGMAUABqAFYAQQA9AD0A","","$20,397.96"
"05/12/2022","DB DEBIT - 5-12-2022, VENMO*                   VISA DIRECT  NY,AUTH# 151334 DEBIT CARD DEBIT","-$260.00","aAB4AFcARwBJAEsAdQBnAHcATABuADkAegA3ACsAdABwAG8AZABRAHUAdwA9AD0A","","$20,423.05"
"05/11/2022","DB DEBIT - 5-11-2022, BRAR FAMILY DENTISTRY    603-8890601  NH,AUTH# 728294 DEBIT CARD DEBIT","-$72.60","SQB1AGIANQA5AGwAdwBWAG4AcAA0AE4AOABnAEUAZgAvAFoAQQB4AHYAdwA9AD0A","","$20,683.05"
"05/11/2022","WITHDRAWAL ATM 0511 1227 812304 116 WEST PEARL STREET   NASHUA       NH","-$103.00","YgBlAHYAcwArADgAYQBIAGUARgBaAG4AawBDADMATQBHADYATwBoADkAQQA9AD0A","","$20,755.65"
"05/10/2022","ELECTRONIC DEPOSIT - COMM. OF MASS.  MASTTAXRFD220509","$47.00","UgA5AFoAdwBqAHEAZQAzADAAWgB3AFEAcgBTAGUAZgBjAGcAbwBVAGgAQQA9AD0A","","$20,858.65"
"05/09/2022","DB DEBIT - 5-09-2022, NINTENDO    *AMERICAUS   800-255-3700 WA,AUTH# 226899 DEBIT CARD DEBIT","-$59.99","WgA0AGoASQBCAEoAYgBGAE0ATwB6AFQAQQAxADcAaQA4AFoAbQB6AEEAdwA9AD0A","","$20,811.65"
"05/09/2022","WITHDRAWAL ATM 0508 1558 066632 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$58.00","UgBZAGwASwBDAHgAYwBJADEAWgB1AGkAZABVAE4AUQBKAEgAdwBZADYAZwA9AD0A","","$20,871.64"
"05/09/2022","DB DEBIT - 5-07-2022, CHIPOTLE 1763            WEST HARTFORDCT,AUTH# 437718 DEBIT CARD DEBIT","-$11.27","bABJAEQANAB4AHUAVgBSAFUAegBZAE0AVgBhACsAbQBDAHkAVwBpAFgAQQA9AD0A","","$20,929.64"
"05/07/2022","WITHDRAWAL POS 0507 1709 418493 APPLE COM BILL          CUPERTINO    CA","-$10.62","cgBHAFQAdgA0AFEAZgBmAG8ATABEAEcAcAB2AHgAMwBxAGEARgB3AGwAQQA9AD0A","","$20,940.91"
"05/06/2022","DB DEBIT - 5-06-2022, VENMO*                   VISA DIRECT  NY,AUTH# 621501 DEBIT CARD DEBIT","-$25.00","MABBADYANQBHAGYAcQBWAGwARABGAGsAZgBhAFoARQBwAEUAMwA4ADcAUQA9AD0A","","$20,951.53"
"05/05/2022","DB DEBIT - 5-05-2022, DOORDASH DASHPASS        WWW.DOORDASH.CA,AUTH# 875395 DEBIT CARD DEBIT","-$9.99","SAAxAEwAMQBtAHAAegB1ADgATABEAFYAeAB4AFgAOAA5AHMAbAB2AEkAQQA9AD0A","","$20,976.53"
"05/04/2022","ELECTRONIC DEPOSIT - AGENUS INC      DIRECT DEP220506","$1,843.89","MgBBAEoAagBaAEsAVQBpAEkASgBsAGQAVgAvADkAOQBwADUAbwBZAFcAZwA9AD0A","","$20,986.52"
"05/04/2022","DB DEBIT - 5-04-2022, APPLE.COM/BILL           866-712-7753 CA,AUTH# 565123 DEBIT CARD DEBIT","-$7.99","bgBSAEUAcAAxAHIAOQArAHEAbwB5AG4AQQBsAHEAQwBoAGwAQgByAEUAZwA9AD0A","","$19,142.63"
"05/04/2022","ELECTRONIC WITHDRAWAL SUBSCRIPTION    ACORNS    050422","-$3.00","cwBPAHQAWgA2AG0AYwBOADYAbgA1AEgAaQBSAFUAOAB1AEkAbQA5AFkAQQA9AD0A","","$19,150.62"
"05/04/2022","TRANSFER TO MBR 5136510 ACCT 5 MONTHLY TRANSFER TO FREE CHECKING - ","-$56.16","WQB0AEUAWgA2AFUAcABpAG8AagB0AFgAeAB1AHEAcwBjAGcASwBSADYAZwA9AD0A","NISSAN INSURANCE","$19,153.62"
"05/04/2022","DB DEBIT - 5-04-2022, DOORDASH*POPEYES         WWW.DOORDASH.CA,AUTH# 453357 DEBIT CARD DEBIT","-$25.09","UQBtAGQAcQBRAEwAbQBTAEgAeQBNAHIAYwAyAG4AVAAxAFIATgB3AEcAdwA9AD0A","","$19,209.78"
"05/03/2022","DB DEBIT - 5-03-2022, 372PEPSIVEN9147678600    MANCHESTER   NH,AUTH# 941408 DEBIT CARD DEBIT","-$1.85","cQAvAEwAUwBWAFIAKwBYAFcAcQBaAHcAZQBKAGIARwBpAG0AWAA0AHcAZwA9AD0A","","$19,234.87"
"05/03/2022","WITHDRAWAL ATM 0503 1037 320819 33 COLISEUM AVE         NASHUA       NH","-$43.50","NwBmAFIAMgB6AHkARAA4ADYARwBxAFgARwBpAHYATwBCAG0AdQBqAGoAdwA9AD0A","","$19,236.72"
"05/01/2022","DB DEBIT - 5-01-2022, LINODE                   855-454-6633 PA,AUTH# 890314 DEBIT CARD DEBIT","-$5.00","ZgByAEMARgBRAE8AWgBWAE0AeQBkAFoAQwBjAGgARQAvAGEAYQArADAAdwA9AD0A","","$19,280.22"
"05/01/2022","WITHDRAWAL POS 0430 2027 647787 5GUYS 0466 QSR          NASHUA       NH","-$18.72","OQBrAGQAbQBWAFMAbwBJAEIAegBkAFoAdwA4AEwAbQBTAGIAQQB6ADMAZwA9AD0A","","$19,285.22"
"04/30/2022","INC TAX - INCOME TAX WITHHOLDING INCOME TAX WITHHOLDING","-$0.36","aQBHAE4AVwB1ADQARQBRAFIAaABhAEMATABKAHAAVgA5AE0AMABRAHAAdwA9AD0A","","$19,303.94"
"04/30/2022","DIVIDEND","$1.50","KwBBADEAbgBUADQATABuAFkAcgBXAEEAQQBFADIAWABnAEgAdwBNAGYAQQA9AD0A","","$19,304.30"
"04/30/2022","DB DEBIT - 4-30-2022, SHELL SERVICE STATION    NASHUA       NH,AUTH# 635676 DEBIT CARD DEBIT","-$10.20","awBMAEIAbAA0AGEAMwBvACsAVgAwAHAAVQBFAGEAOQBPAHUARABGAEIAUQA9AD0A","","$19,302.80"
"04/30/2022","DB DEBIT - 4-29-2022, SHELL OIL 57544923600    NASHUA       NH,AUTH# 777737 DEBIT CARD DEBIT","-$1.79","YwBDAE8AdABGAEQAdABUAGsAaAAwAE8AVAA4AHQAYgArADMAawBPAFkAQQA9AD0A","","$19,313.00"
"04/30/2022","DB DEBIT - 4-29-2022, 372PEPSIVEN9147678600    MANCHESTER   NH,AUTH# 732649 DEBIT CARD DEBIT","-$1.85","YQBWAGcANgBJADMAQgBJADkAZwBYAFgAUgBkAHUAdABNADAAeABiAEQAdwA9AD0A","","$19,314.79"
"04/29/2022","WITHDRAWAL ATM 0429 1534 693345 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$73.00","TgBOAHMAZgBZADYAbgBjAGsAZgBOADAAdQBoAGQAOABCAGoAKwBBAHMAZwA9AD0A","","$19,316.64"
"04/29/2022","DB DEBIT - 4-28-2022, 372PEPSIVEN9147678600    MANCHESTER   NH,AUTH# 861028 DEBIT CARD DEBIT","-$1.85","cQAvAGUALwBpAEgAOQBYAHIATABvAFAANgBDADkAdgB6AEUAUQBGAEcAUQA9AD0A","","$19,389.64"
"04/28/2022","WITHDRAWAL ATM 0428 1415 889893 33 COLISEUM AVE         NASHUA       NH","-$43.50","egBKAEIAbABpAHkANgA0AGQAcABvAGcAKwBwAG8AagBRAEMAbgB3AEEAUQA9AD0A","","$19,391.49"
"04/26/2022","DB DEBIT - 4-26-2022, DOORDASH*POPEYES         WWW.DOORDASH.CA,AUTH# 485538 DEBIT CARD DEBIT","-$17.53","awBiAEcAagBiAHcAcABDAHMASgAvAHUAbABUAE4AVwBZAHcARAA0AGwAdwA9AD0A","","$19,434.99"
"04/26/2022","DB DEBIT - 4-25-2022, 372PEPSIVEN9147678600    MANCHESTER   NH,AUTH# 125526 DEBIT CARD DEBIT","-$1.85","WgB5AFkANwB2AEYAdwBDADkAUABaAHEAaQBhAEoAVABjAEcAUgBmADkAdwA9AD0A","","$19,452.52"
"04/25/2022","DB DEBIT - 4-25-2022, DOORDASH*MCDONALDS       WWW.DOORDASH.CA,AUTH# 856285 DEBIT CARD DEBIT","-$22.50","VAB3ADIATQBnAHIAdQBZAG4AdAArAGoAdwBXAE4ARwBrADUAUwBkAEwAUQA9AD0A","","$19,454.37"
"04/25/2022","DB DEBIT - 4-24-2022, 372PEPSIVEN9147678600    MANCHESTER   NH,AUTH# 271789 DEBIT CARD DEBIT","-$1.85","RABoAEwAZgBiAGsARgBPADgALwBnADgAMAAvAHQAeABYAE8AVgBmAGkAdwA9AD0A","","$19,476.87"
"04/25/2022","WITHDRAWAL ATM 0424 1236 230726 420 MIDDLESEX ROAD      TYNGSBOROUGH MA","-$103.00","eAA4AGgAcQBjADMAOABaADEAVgBiADYAOABEADUAdgBQAGQAdABSAHkAQQA9AD0A","","$19,478.72"
